Style,Color,Size,UPC,Cost
693016208555,ALG-601,42,Classic Black Napa,49.50,
693016272846,ALG-631,35,Classic Dusty Black,49.50,
693016272853,ALG-631,36,Classic Dusty Black,49.50,
693016272860,ALG-631,37,Classic Dusty Black,49.50,
693016272877,ALG-631,38,Classic Dusty Black,49.50,
693016272884,ALG-631,39,Classic Dusty Black,49.50,
693016272891,ALG-631,40,Classic Dusty Black,49.50,
693016272907,ALG-631,41,Classic Dusty Black,49.50,
693016272914,ALG-631,42,Classic Dusty Black,49.50,
693016305995,ALG-632,35,Classic Turquoise Breezy,49.50,
693016306008,ALG-632,36,Classic Turquoise Breezy,49.50,
693016306015,ALG-632,37,Classic Turquoise Breezy,49.50,
693016306022,ALG-632,38,Classic Turquoise Breezy,49.50,
693016306039,ALG-632,39,Classic Turquoise Breezy,49.50,
693016306046,ALG-632,40,Classic Turquoise Breezy,49.50,
693016306053,ALG-632,41,Classic Turquoise Breezy,49.50,
693016306060,ALG-632,42,Classic Turquoise Breezy,49.50,
693016272921,ALG-633,35,Classic Dusty Blue,49.50,
693016272938,ALG-633,36,Classic Dusty Blue,49.50,
693016272945,ALG-633,37,Classic Dusty Blue,49.50,
693016272952,ALG-633,38,Classic Dusty Blue,49.50,
693016272969,ALG-633,39,Classic Dusty Blue,49.50,
693016272976,ALG-633,40,Classic Dusty Blue,49.50,
693016272983,ALG-633,41,Classic Dusty Blue,49.50,
693016272990,ALG-633,42,Classic Dusty Blue,49.50,
693016306077,ALG-634,35,Classic Fuchsia Breezy,49.50,
693016306084,ALG-634,36,Classic Fuchsia Breezy,49.50,
693016306091,ALG-634,37,Classic Fuchsia Breezy,49.50,
693016306107,ALG-634,38,Classic Fuchsia Breezy,49.50,
693016306114,ALG-634,39,Classic Fuchsia Breezy,49.50,
693016306121,ALG-634,40,Classic Fuchsia Breezy,49.50,
693016306138,ALG-634,41,Classic Fuchsia Breezy,49.50,
693016306145,ALG-634,42,Classic Fuchsia Breezy,49.50,
693016273003,ALG-637,35,Classic Dusty Cognac,49.50,
693016273010,ALG-637,36,Classic Dusty Cognac,49.50,
693016273027,ALG-637,37,Classic Dusty Cognac,49.50,
693016273034,ALG-637,38,Classic Dusty Cognac,49.50,
693016273041,ALG-637,39,Classic Dusty Cognac,49.50,
693016273058,ALG-637,40,Classic Dusty Cognac,49.50,
693016273065,ALG-637,41,Classic Dusty Cognac,49.50,
693016273072,ALG-637,42,Classic Dusty Cognac,49.50,
693016256068,ALG-715,35,Classic Brilliant Snake,49.50,
693016256075,ALG-715,36,Classic Brilliant Snake,49.50,
693016256082,ALG-715,37,Classic Brilliant Snake,49.50,
693016256099,ALG-715,38,Classic Brilliant Snake,49.50,
693016256105,ALG-715,39,Classic Brilliant Snake,49.50,
693016256112,ALG-715,40,Classic Brilliant Snake,49.50,
693016256129,ALG-715,41,Classic Brilliant Snake,49.50,
693016256136,ALG-715,42,Classic Brilliant Snake,49.50,
693016256143,ALG-716,35,Classic Rainbow Snake,49.50,
693016256150,ALG-716,36,Classic Rainbow Snake,49.50,
693016256167,ALG-716,37,Classic Rainbow Snake,49.50,
693016256174,ALG-716,38,Classic Rainbow Snake,49.50,
693016256181,ALG-716,39,Classic Rainbow Snake,49.50,
693016256198,ALG-716,40,Classic Rainbow Snake,49.50,
693016256204,ALG-716,41,Classic Rainbow Snake,49.50,
693016256211,ALG-716,42,Classic Rainbow Snake,49.50,
693016272686,ALG-723,35,Classic Sophistisnake,49.50,
693016272693,ALG-723,36,Classic Sophistisnake,49.50,
693016272709,ALG-723,37,Classic Sophistisnake,49.50,
693016272716,ALG-723,38,Classic Sophistisnake,49.50,
693016272723,ALG-723,39,Classic Sophistisnake,49.50,
693016272730,ALG-723,40,Classic Sophistisnake,49.50,
693016272747,ALG-723,41,Classic Sophistisnake,49.50,
693016272754,ALG-723,42,Classic Sophistisnake,49.50,
693016287079,ALG-805,35,Classic Black Vintage Floral,49.50,
693016287086,ALG-805,36,Classic Black Vintage Floral,49.50,
693016287093,ALG-805,37,Classic Black Vintage Floral,49.50,
693016287109,ALG-805,38,Classic Black Vintage Floral,49.50,
693016287116,ALG-805,39,Classic Black Vintage Floral,49.50,
693016287123,ALG-805,40,Classic Black Vintage Floral,49.50,
693016287130,ALG-805,41,Classic Black Vintage Floral,49.50,
693016287147,ALG-805,42,Classic Black Vintage Floral,49.50,
693016287154,ALG-806,35,Classic Brown Vintage Floral,49.50,
693016287161,ALG-806,36,Classic Brown Vintage Floral,49.50,
693016287178,ALG-806,37,Classic Brown Vintage Floral,49.50,
693016287185,ALG-806,38,Classic Brown Vintage Floral,49.50,
693016287192,ALG-806,39,Classic Brown Vintage Floral,49.50,
693016287208,ALG-806,40,Classic Brown Vintage Floral,49.50,
693016287215,ALG-806,41,Classic Brown Vintage Floral,49.50,
693016287222,ALG-806,42,Classic Brown Vintage Floral,49.50,
693016287239,ALG-807,35,Classic Leopard,49.50,
693016287246,ALG-807,36,Classic Leopard,49.50,
693016287253,ALG-807,37,Classic Leopard,49.50,
693016287260,ALG-807,38,Classic Leopard,49.50,
693016287277,ALG-807,39,Classic Leopard,49.50,
693016287284,ALG-807,40,Classic Leopard,49.50,
693016287291,ALG-807,41,Classic Leopard,49.50,
693016287307,ALG-807,42,Classic Leopard,49.50,
693016305834,ALG-808,35,Classic Cork Black Pull Up,49.50,
693016305841,ALG-808,36,Classic Cork Black Pull Up,49.50,
693016305858,ALG-808,37,Classic Cork Black Pull Up,49.50,
693016305865,ALG-808,38,Classic Cork Black Pull Up,49.50,
693016305872,ALG-808,39,Classic Cork Black Pull Up,49.50,
693016305889,ALG-808,40,Classic Cork Black Pull Up,49.50,
693016305896,ALG-808,41,Classic Cork Black Pull Up,49.50,
693016305902,ALG-808,42,Classic Cork Black Pull Up,49.50,
693016306152,ALG-809,35,Classic Jute Stripe,49.50,
693016306169,ALG-809,36,Classic Jute Stripe,49.50,
693016306176,ALG-809,37,Classic Jute Stripe,49.50,
693016306183,ALG-809,38,Classic Jute Stripe,49.50,
693016306190,ALG-809,39,Classic Jute Stripe,49.50,
693016306206,ALG-809,40,Classic Jute Stripe,49.50,
693016306213,ALG-809,41,Classic Jute Stripe,49.50,
693016306220,ALG-809,42,Classic Jute Stripe,49.50,
693016287314,ALG-911,35,Classic Black Glossy Shearling,54.50,
693016287321,ALG-911,36,Classic Black Glossy Shearling,54.50,
693016287338,ALG-911,37,Classic Black Glossy Shearling,54.50,
693016287345,ALG-911,38,Classic Black Glossy Shearling,54.50,
693016287352,ALG-911,39,Classic Black Glossy Shearling,54.50,
693016287369,ALG-911,40,Classic Black Glossy Shearling,54.50,
693016287376,ALG-911,41,Classic Black Glossy Shearling,54.50,
693016287383,ALG-911,42,Classic Black Glossy Shearling,54.50,
693016287390,ALG-912,35,Classic Choco Emboss Burnish Shearling,54.50,
693016287406,ALG-912,36,Classic Choco Emboss Burnish Shearling,54.50,
693016287413,ALG-912,37,Classic Choco Emboss Burnish Shearling,54.50,
693016287420,ALG-912,38,Classic Choco Emboss Burnish Shearling,54.50,
693016287437,ALG-912,39,Classic Choco Emboss Burnish Shearling,54.50,
693016287444,ALG-912,40,Classic Choco Emboss Burnish Shearling,54.50,
693016287451,ALG-912,41,Classic Choco Emboss Burnish Shearling,54.50,
693016287468,ALG-912,42,Classic Choco Emboss Burnish Shearling,54.50,
693016287475,ALG-915,35,Classic Golden Girl Shearling,54.50,
693016287482,ALG-915,36,Classic Golden Girl Shearling,54.50,
693016287499,ALG-915,37,Classic Golden Girl Shearling,54.50,
693016287505,ALG-915,38,Classic Golden Girl Shearling,54.50,
693016287512,ALG-915,39,Classic Golden Girl Shearling,54.50,
693016287529,ALG-915,40,Classic Golden Girl Shearling,54.50,
693016287536,ALG-915,41,Classic Golden Girl Shearling,54.50,
693016287543,ALG-915,42,Classic Golden Girl Shearling,54.50,
693016287550,ALG-916,35,Classic Copper Multi,54.50,
693016287567,ALG-916,36,Classic Copper Multi,54.50,
693016287574,ALG-916,37,Classic Copper Multi,54.50,
693016287581,ALG-916,38,Classic Copper Multi,54.50,
693016287598,ALG-916,39,Classic Copper Multi,54.50,
693016287604,ALG-916,40,Classic Copper Multi,54.50,
693016287611,ALG-916,41,Classic Copper Multi,54.50,
693016287628,ALG-916,42,Classic Copper Multi,54.50,
693016287635,ALG-917,35,Classic Earth Multi,54.50,
693016287642,ALG-917,36,Classic Earth Multi,54.50,
693016287659,ALG-917,37,Classic Earth Multi,54.50,
693016287666,ALG-917,38,Classic Earth Multi,54.50,
693016287673,ALG-917,39,Classic Earth Multi,54.50,
693016287680,ALG-917,40,Classic Earth Multi,54.50,
693016287697,ALG-917,41,Classic Earth Multi,54.50,
693016287703,ALG-917,42,Classic Earth Multi,54.50,
693016287710,ALG-918,35,Classic Fuchia Multi,54.50,
693016287727,ALG-918,36,Classic Fuchia Multi,54.50,
693016287734,ALG-918,37,Classic Fuchia Multi,54.50,
693016287741,ALG-918,38,Classic Fuchia Multi,54.50,
693016287758,ALG-918,39,Classic Fuchia Multi,54.50,
693016287765,ALG-918,40,Classic Fuchia Multi,54.50,
693016287772,ALG-918,41,Classic Fuchia Multi,54.50,
693016287789,ALG-918,42,Classic Fuchia Multi,54.50,
693016287796,ALG-919,35,Classic Sophistisnake Multi,54.50,
693016287802,ALG-919,36,Classic Sophistisnake Multi,54.50,
693016287819,ALG-919,37,Classic Sophistisnake Multi,54.50,
693016287826,ALG-919,38,Classic Sophistisnake Multi,54.50,
693016287833,ALG-919,39,Classic Sophistisnake Multi,54.50,
693016287840,ALG-919,40,Classic Sophistisnake Multi,54.50,
693016287857,ALG-919,41,Classic Sophistisnake Multi,54.50,
693016287864,ALG-919,42,Classic Sophistisnake Multi,54.50,
693016305919,ALG-929,35,Classic Indigo Zigzag,49.50,
693016305926,ALG-929,36,Classic Indigo Zigzag,49.50,
693016305933,ALG-929,37,Classic Indigo Zigzag,49.50,
693016305940,ALG-929,38,Classic Indigo Zigzag,49.50,
693016305957,ALG-929,39,Classic Indigo Zigzag,49.50,
693016305964,ALG-929,40,Classic Indigo Zigzag,49.50,
693016305971,ALG-929,41,Classic Indigo Zigzag,49.50,
693016305988,ALG-929,42,Classic Indigo Zigzag,49.50,
693016299843,ALG-999,35,Classic Insert,9.50,
693016299850,ALG-999,36,Classic Insert,9.50,
693016299867,ALG-999,37,Classic Insert,9.50,
693016299874,ALG-999,38,Classic Insert,9.50,
693016299881,ALG-999,39,Classic Insert,9.50,
693016299898,ALG-999,40,Classic Insert,9.50,
693016299904,ALG-999,41,Classic Insert,9.50,
693016299911,ALG-999,42,Classic Insert,9.50,
693016299928,ALG-999W,35,Classic Wide Width Insert,9.50,
693016299935,ALG-999W,36,Classic Wide Width Insert,9.50,
693016299942,ALG-999W,37,Classic Wide Width Insert,9.50,
693016299959,ALG-999W,38,Classic Wide Width Insert,9.50,
693016299966,ALG-999W,39,Classic Wide Width Insert,9.50,
693016299973,ALG-999W,40,Classic Wide Width Insert,9.50,
693016299980,ALG-999W,41,Classic Wide Width Insert,9.50,
693016299997,ALG-999W,42,Classic Wide Width Insert,9.50,
693016269082,ALG-ABB-101,35,Abbi Black Patent,54.50,
693016269099,ALG-ABB-101,36,Abbi Black Patent,54.50,
693016269105,ALG-ABB-101,37,Abbi Black Patent,54.50,
693016269112,ALG-ABB-101,38,Abbi Black Patent,54.50,
693016269129,ALG-ABB-101,39,Abbi Black Patent,54.50,
693016269136,ALG-ABB-101,40,Abbi Black Patent,54.50,
693016269143,ALG-ABB-101,41,Abbi Black Patent,54.50,
693016269150,ALG-ABB-101,42,Abbi Black Patent,54.50,
693016269167,ALG-ABB-112,35,Abbi Plum Patent,54.50,
693016269174,ALG-ABB-112,36,Abbi Plum Patent,54.50,
693016269181,ALG-ABB-112,37,Abbi Plum Patent,54.50,
693016269198,ALG-ABB-112,38,Abbi Plum Patent,54.50,
693016269204,ALG-ABB-112,39,Abbi Plum Patent,54.50,
693016269211,ALG-ABB-112,40,Abbi Plum Patent,54.50,
693016269228,ALG-ABB-112,41,Abbi Plum Patent,54.50,
693016269235,ALG-ABB-112,42,Abbi Plum Patent,54.50,
693016269402,ALG-ABB-407,35,Abbi Tortoise Patent,54.50,
693016269419,ALG-ABB-407,36,Abbi Tortoise Patent,54.50,
693016269426,ALG-ABB-407,37,Abbi Tortoise Patent,54.50,
693016269433,ALG-ABB-407,38,Abbi Tortoise Patent,54.50,
693016269440,ALG-ABB-407,39,Abbi Tortoise Patent,54.50,
693016269457,ALG-ABB-407,40,Abbi Tortoise Patent,54.50,
693016269464,ALG-ABB-407,41,Abbi Tortoise Patent,54.50,
693016269471,ALG-ABB-407,42,Abbi Tortoise Patent,54.50,
693016274925,ALG-ABB-526,35,Abbi Western Romance,54.50,
693016274932,ALG-ABB-526,36,Abbi Western Romance,54.50,
693016274949,ALG-ABB-526,37,Abbi Western Romance,54.50,
693016274956,ALG-ABB-526,38,Abbi Western Romance,54.50,
693016274963,ALG-ABB-526,39,Abbi Western Romance,54.50,
693016274970,ALG-ABB-526,40,Abbi Western Romance,54.50,
693016274987,ALG-ABB-526,41,Abbi Western Romance,54.50,
693016274994,ALG-ABB-526,42,Abbi Western Romance,54.50,
693016268924,ALG-ABB-531,35,Abbi Black Emboss Rose,54.50,
693016268931,ALG-ABB-531,36,Abbi Black Emboss Rose,54.50,
693016268948,ALG-ABB-531,37,Abbi Black Emboss Rose,54.50,
693016268955,ALG-ABB-531,38,Abbi Black Emboss Rose,54.50,
693016268962,ALG-ABB-531,39,Abbi Black Emboss Rose,54.50,
693016268979,ALG-ABB-531,40,Abbi Black Emboss Rose,54.50,
693016268986,ALG-ABB-531,41,Abbi Black Emboss Rose,54.50,
693016268993,ALG-ABB-531,42,Abbi Black Emboss Rose,54.50,
693016293797,ALG-ABB-625,35,Abbi Blue Jean Baby,54.50,
693016293803,ALG-ABB-625,36,Abbi Blue Jean Baby,54.50,
693016293810,ALG-ABB-625,37,Abbi Blue Jean Baby,54.50,
693016293827,ALG-ABB-625,38,Abbi Blue Jean Baby,54.50,
693016293834,ALG-ABB-625,39,Abbi Blue Jean Baby,54.50,
693016293841,ALG-ABB-625,40,Abbi Blue Jean Baby,54.50,
693016293858,ALG-ABB-625,41,Abbi Blue Jean Baby,54.50,
693016293865,ALG-ABB-625,42,Abbi Blue Jean Baby,54.50,
693016293872,ALG-ABB-704,35,Abbi Earthy Brushed Snake,54.50,
693016293889,ALG-ABB-704,36,Abbi Earthy Brushed Snake,54.50,
693016293896,ALG-ABB-704,37,Abbi Earthy Brushed Snake,54.50,
693016293902,ALG-ABB-704,38,Abbi Earthy Brushed Snake,54.50,
693016293919,ALG-ABB-704,39,Abbi Earthy Brushed Snake,54.50,
693016293926,ALG-ABB-704,40,Abbi Earthy Brushed Snake,54.50,
693016293933,ALG-ABB-704,41,Abbi Earthy Brushed Snake,54.50,
693016293940,ALG-ABB-704,42,Abbi Earthy Brushed Snake,54.50,
693016304479,ALG-ALL-386,35,Alli Rome Patent,59.50,
693016304486,ALG-ALL-386,36,Alli Rome Patent,59.50,
693016304493,ALG-ALL-386,37,Alli Rome Patent,59.50,
693016304509,ALG-ALL-386,38,Alli Rome Patent,59.50,
693016304516,ALG-ALL-386,39,Alli Rome Patent,59.50,
693016304523,ALG-ALL-386,40,Alli Rome Patent,59.50,
693016304530,ALG-ALL-386,41,Alli Rome Patent,59.50,
693016304547,ALG-ALL-386,42,Alli Rome Patent,59.50,
693016293957,ALG-ALL-571,35,Alli Black Silver Lace,59.50,
693016293964,ALG-ALL-571,36,Alli Black Silver Lace,59.50,
693016293971,ALG-ALL-571,37,Alli Black Silver Lace,59.50,
693016293988,ALG-ALL-571,38,Alli Black Silver Lace,59.50,
693016293995,ALG-ALL-571,39,Alli Black Silver Lace,59.50,
693016294008,ALG-ALL-571,40,Alli Black Silver Lace,59.50,
693016294015,ALG-ALL-571,41,Alli Black Silver Lace,59.50,
693016294022,ALG-ALL-571,42,Alli Black Silver Lace,59.50,
693016294039,ALG-ALL-572,35,Alli Choco & Gold Lace,59.50,
693016294046,ALG-ALL-572,36,Alli Choco & Gold Lace,59.50,
693016294053,ALG-ALL-572,37,Alli Choco & Gold Lace,59.50,
693016294060,ALG-ALL-572,38,Alli Choco & Gold Lace,59.50,
693016294077,ALG-ALL-572,39,Alli Choco & Gold Lace,59.50,
693016294084,ALG-ALL-572,40,Alli Choco & Gold Lace,59.50,
693016294091,ALG-ALL-572,41,Alli Choco & Gold Lace,59.50,
693016294107,ALG-ALL-572,42,Alli Choco & Gold Lace,59.50,
693016294114,ALG-ALL-631,35,Alli Dusty Black,59.50,
693016294121,ALG-ALL-631,36,Alli Dusty Black,59.50,
693016294138,ALG-ALL-631,37,Alli Dusty Black,59.50,
693016294145,ALG-ALL-631,38,Alli Dusty Black,59.50,
693016294152,ALG-ALL-631,39,Alli Dusty Black,59.50,
693016294169,ALG-ALL-631,40,Alli Dusty Black,59.50,
693016294176,ALG-ALL-631,41,Alli Dusty Black,59.50,
693016294183,ALG-ALL-631,42,Alli Dusty Black,59.50,
693016294190,ALG-ALL-820,35,Alli Black Velvet,59.50,
693016294206,ALG-ALL-820,36,Alli Black Velvet,59.50,
693016294213,ALG-ALL-820,37,Alli Black Velvet,59.50,
693016294220,ALG-ALL-820,38,Alli Black Velvet,59.50,
693016294237,ALG-ALL-820,39,Alli Black Velvet,59.50,
693016294244,ALG-ALL-820,40,Alli Black Velvet,59.50,
693016294251,ALG-ALL-820,41,Alli Black Velvet,59.50,
693016294268,ALG-ALL-820,42,Alli Black Velvet,59.50,
693016294275,ALG-ALL-821,35,Alli Tartan,59.50,
693016294282,ALG-ALL-821,36,Alli Tartan,59.50,
693016294299,ALG-ALL-821,37,Alli Tartan,59.50,
693016294305,ALG-ALL-821,38,Alli Tartan,59.50,
693016294312,ALG-ALL-821,39,Alli Tartan,59.50,
693016294329,ALG-ALL-821,40,Alli Tartan,59.50,
693016294336,ALG-ALL-821,41,Alli Tartan,59.50,
693016294343,ALG-ALL-821,42,Alli Tartan,59.50,
693016291205,ALG-AVA-101,35,Ava Black Patent,79.50,
693016291212,ALG-AVA-101,36,Ava Black Patent,79.50,
693016291229,ALG-AVA-101,37,Ava Black Patent,79.50,
693016291236,ALG-AVA-101,38,Ava Black Patent,79.50,
693016291243,ALG-AVA-101,39,Ava Black Patent,79.50,
693016291250,ALG-AVA-101,40,Ava Black Patent,79.50,
693016291267,ALG-AVA-101,41,Ava Black Patent,79.50,
693016291274,ALG-AVA-101,42,Ava Black Patent,79.50,
693016291281,ALG-AVA-601,35,Ava Black Napa,79.50,
693016291298,ALG-AVA-601,36,Ava Black Napa,79.50,
693016291304,ALG-AVA-601,37,Ava Black Napa,79.50,
693016291311,ALG-AVA-601,38,Ava Black Napa,79.50,
693016291328,ALG-AVA-601,39,Ava Black Napa,79.50,
693016291335,ALG-AVA-601,40,Ava Black Napa,79.50,
693016291342,ALG-AVA-601,41,Ava Black Napa,79.50,
693016291359,ALG-AVA-601,42,Ava Black Napa,79.50,
693016291366,ALG-AVA-602,35,Ava Gravy Pull-Up,79.50,
693016291373,ALG-AVA-602,36,Ava Gravy Pull-Up,79.50,
693016291380,ALG-AVA-602,37,Ava Gravy Pull-Up,79.50,
693016291397,ALG-AVA-602,38,Ava Gravy Pull-Up,79.50,
693016291403,ALG-AVA-602,39,Ava Gravy Pull-Up,79.50,
693016291410,ALG-AVA-602,40,Ava Gravy Pull-Up,79.50,
693016291427,ALG-AVA-602,41,Ava Gravy Pull-Up,79.50,
693016291434,ALG-AVA-602,42,Ava Gravy Pull-Up,79.50,
693016290963,ALG-AVR-571,35,Avril Black & Silver,74.50,
693016290970,ALG-AVR-571,36,Avril Black & Silver,74.50,
693016290987,ALG-AVR-571,37,Avril Black & Silver,74.50,
693016290994,ALG-AVR-571,38,Avril Black & Silver,74.50,
693016291007,ALG-AVR-571,39,Avril Black & Silver,74.50,
693016291014,ALG-AVR-571,40,Avril Black & Silver,74.50,
693016291021,ALG-AVR-571,41,Avril Black & Silver,74.50,
693016291038,ALG-AVR-571,42,Avril Black & Silver,74.50,
693016291045,ALG-AVR-572,35,Avril Brown & Gold Rose,74.50,
693016291052,ALG-AVR-572,36,Avril Brown & Gold Rose,74.50,
693016291069,ALG-AVR-572,37,Avril Brown & Gold Rose,74.50,
693016291076,ALG-AVR-572,38,Avril Brown & Gold Rose,74.50,
693016291083,ALG-AVR-572,39,Avril Brown & Gold Rose,74.50,
693016291090,ALG-AVR-572,40,Avril Brown & Gold Rose,74.50,
693016291106,ALG-AVR-572,41,Avril Brown & Gold Rose,74.50,
693016291113,ALG-AVR-572,42,Avril Brown & Gold Rose,74.50,
693016291120,ALG-AVR-601,35,Avril Black Full Grain,74.50,
693016291137,ALG-AVR-601,36,Avril Black Full Grain,74.50,
693016291144,ALG-AVR-601,37,Avril Black Full Grain,74.50,
693016291151,ALG-AVR-601,38,Avril Black Full Grain,74.50,
693016291168,ALG-AVR-601,39,Avril Black Full Grain,74.50,
693016291175,ALG-AVR-601,40,Avril Black Full Grain,74.50,
693016291182,ALG-AVR-601,41,Avril Black Full Grain,74.50,
693016291199,ALG-AVR-601,42,Avril Black Full Grain,74.50,
693016288908,ALG-BEL-101,35,Belle Black Crinkle,49.50,
693016288915,ALG-BEL-101,36,Belle Black Crinkle,49.50,
693016288922,ALG-BEL-101,37,Belle Black Crinkle,49.50,
693016288939,ALG-BEL-101,38,Belle Black Crinkle,49.50,
693016288946,ALG-BEL-101,39,Belle Black Crinkle,49.50,
693016288953,ALG-BEL-101,40,Belle Black Crinkle,49.50,
693016288960,ALG-BEL-101,41,Belle Black Crinkle,49.50,
693016288977,ALG-BEL-101,42,Belle Black Crinkle,49.50,
693016288984,ALG-BEL-135,35,Belle Navy Sand Dollar,49.50,
693016288991,ALG-BEL-135,36,Belle Navy Sand Dollar,49.50,
693016289004,ALG-BEL-135,37,Belle Navy Sand Dollar,49.50,
693016289011,ALG-BEL-135,38,Belle Navy Sand Dollar,49.50,
